date,real value,prediction from price change data,prediction from price and frequency data
2004 JAN,0,,
2004 FEB,0.7,,
2004 MAR,0.8,,
2004 APR,1.8,,
2004 MAY,3.3,,
2004 JUN,1.7,,
2004 JUL,0.3,,
2004 AUG,2.2,,
2004 SEP,1.9,,
2004 OCT,0.7,,
2004 NOV,0.5,,
2004 DEC,1.1,,
2005 JAN,0.7,,
2005 FEB,0.2,,
2005 MAR,1.1,,
2005 APR,0.5,,
2005 MAY,0.6,,
2005 JUN,1.5,,
2005 JUL,1.2,,
2005 AUG,1.2,,
2005 SEP,0.2,,
2005 OCT,1.5,,
2005 NOV,0.5,,
2005 DEC,2.6,,
2006 JAN,0.5,,
2006 FEB,0.3,,
2006 MAR,0.1,,
2006 APR,1.5,,
2006 MAY,1.3,,
2006 JUN,3.2,,
2006 JUL,2.4,,
2006 AUG,2.1,,
2006 SEP,0.7,,
2006 OCT,1.5,,
2006 NOV,0.2,,
2006 DEC,1,,
2007 JAN,0.3,,
2007 FEB,3.4,,
2007 MAR,0.1,,
2007 APR,0.1,,
2007 MAY,0,,
2007 JUN,2.3,,
2007 JUL,2.2,,
2007 AUG,0,,
2007 SEP,1.1,,
2007 OCT,3.6,,
2007 NOV,0.6,,
2007 DEC,2.4,,
2008 JAN,4.3,,
2008 FEB,1.9,,
2008 MAR,0.1,,
2008 APR,4,,
2008 MAY,4.2,,
2008 JUN,6.5,,
2008 JUL,3,,
2008 AUG,8.5,,
2008 SEP,0.6,,
2008 OCT,0.7,,
2008 NOV,4.7,,
2008 DEC,3.1,,
2009 JAN,0.5,,
2009 FEB,0.3,,
2009 MAR,1.5,,
2009 APR,4.3,,
2009 MAY,0.4,,
2009 JUN,1.7,,
2009 JUL,3.1,,
2009 AUG,0.7,,
2009 SEP,2.3,,
2009 OCT,1.2,,
2009 NOV,3,,
2009 DEC,3.4,,
2010 JAN,4.2,,
2010 FEB,2.3,,
2010 MAR,1.5,,
2010 APR,4.8,,
2010 MAY,0.2,,
2010 JUN,0.1,,
2010 JUL,6.4,,
2010 AUG,1.5,,
2010 SEP,1,,
2010 OCT,2.8,,
2010 NOV,1.5,,
2010 DEC,0.4,,
2011 JAN,7,,
2011 FEB,3.7,,
2011 MAR,0.3,,
2011 APR,2.5,,
2011 MAY,7.4,,
2011 JUN,2.8,,
2011 JUL,2.9,,
2011 AUG,1.2,,
2011 SEP,4.1,,
2011 OCT,1,,
2011 NOV,1.6,,
2011 DEC,4,,
2012 JAN,3,,
2012 FEB,0.3,,
2012 MAR,2,,
2012 APR,0.3,,
2012 MAY,3.9,,
2012 JUN,7,,
2012 JUL,1.9,,
2012 AUG,3.1,,
2012 SEP,1.5,,
2012 OCT,8.6,,
2012 NOV,4.9,,
2012 DEC,2,,
2013 JAN,1.3,,
2013 FEB,0.3,,
2013 MAR,0.4,3.363544399,-1.372513298
2013 APR,3.7,-2.646858459,1.104747663
2013 MAY,7.8,-3.627873489,-1.415661238
2013 JUN,4.7,1.568338592,-0.966438083
2013 JUL,1.2,7.799395781,1.808263127
2013 AUG,7.3,8.767267198,8.793334441
2013 SEP,6.8,9.243685393,2.476959037
2013 OCT,9.4,4.206692624,1.443631525
2013 NOV,0.3,5.530511388,1.732884342
2013 DEC,1,8.818082492,5.876354478
2014 JAN,0.7,10.85541123,6.01633964
2014 FEB,3.8,-0.341518461,1.893935468
2014 MAR,3.3,-1.981043316,-2.761275843
2014 APR,11.4,-1.096242618,-1.947677035
2014 MAY,9,11.20706044,-5.722676764
2014 JUN,8.4,8.074761124,3.423051449
2014 JUL,4.9,17.18008616,2.045442616
2014 AUG,0.4,16.07052815,13.29686091
2014 SEP,7.7,6.212991745,12.95667513
2014 OCT,11.5,4.014081664,5.736462604
2014 NOV,5.6,3.921634073,-2.388281744
2014 DEC,3,7.865316961,1.2442275
2015 JAN,1.2,14.77923664,5.732421468
2015 FEB,0.2,9.028551866,5.146432443
2015 MAR,6.9,1.922687319,-3.842051218
2015 APR,1.9,-0.729943252,-2.178079586
2015 MAY,4.3,1.239083545,3.124561984
2015 JUN,2.5,7.917612014,2.383258266
2015 JUL,3.9,4.812810306,-1.067457915
2015 AUG,1.8,2.971253182,5.792864015
2015 SEP,2.6,3.751581423,4.854113187
2015 OCT,0.1,1.873045873,3.974614967
2015 NOV,3.4,-1.864076655,5.955869836
2015 DEC,3.2,1.241903375,1.241621674
2016 JAN,6,2.918771365,2.771310474
2016 FEB,7.2,5.902902728,-3.273515096
2016 MAR,3.5,5.431938142,-0.374047068
2016 APR,0.3,10.94710857,1.549612786
2016 MAY,5.5,7.769609437,10.18519158
2016 JUN,0.9,3.440131641,7.459688418
2016 JUL,5.9,-0.157888751,6.825114187
2016 AUG,3.1,1.080460933,-2.490909502
2016 SEP,0.7,4.197464793,2.117615345
2016 OCT,7.3,7.883344083,1.696882268
2016 NOV,3.6,7.077488186,1.536443787
