date,real value,prediction from price change data,prediction from price and frequency data
2004 JAN,0,,
2004 FEB,0.7,,
2004 MAR,0.6,,
2004 APR,0.3,,
2004 MAY,4.5,,
2004 JUN,0.3,,
2004 JUL,5.5,,
2004 AUG,1.6,,
2004 SEP,2.8,,
2004 OCT,0.5,,
2004 NOV,0.5,,
2004 DEC,0.4,,
2005 JAN,1.5,,
2005 FEB,1.4,,
2005 MAR,0.2,,
2005 APR,0,,
2005 MAY,0.3,,
2005 JUN,1.3,,
2005 JUL,5.1,,
2005 AUG,3.6,,
2005 SEP,0.3,,
2005 OCT,2.5,,
2005 NOV,0.7,,
2005 DEC,2,,
2006 JAN,0.9,,
2006 FEB,2.4,,
2006 MAR,0.2,,
2006 APR,0.8,,
2006 MAY,1.7,,
2006 JUN,3.7,,
2006 JUL,3.2,,
2006 AUG,2.7,,
2006 SEP,0.7,,
2006 OCT,3,,
2006 NOV,6.4,,
2006 DEC,0.9,,
2007 JAN,3,,
2007 FEB,7.1,,
2007 MAR,1.7,,
2007 APR,1.3,,
2007 MAY,4,,
2007 JUN,1.6,,
2007 JUL,9.4,,
2007 AUG,0.6,,
2007 SEP,0.8,,
2007 OCT,0,,
2007 NOV,4,,
2007 DEC,0.9,,
2008 JAN,1.3,,
2008 FEB,4.2,,
2008 MAR,1.8,,
2008 APR,3.9,,
2008 MAY,1.5,,
2008 JUN,12.4,,
2008 JUL,0.7,,
2008 AUG,2.9,,
2008 SEP,0.8,,
2008 OCT,5.6,,
2008 NOV,5.6,,
2008 DEC,1.3,,
2009 JAN,3.5,,
2009 FEB,4.9,,
2009 MAR,0.8,,
2009 APR,1.7,,
2009 MAY,6,,
2009 JUN,0.9,,
2009 JUL,3.3,,
2009 AUG,5.4,,
2009 SEP,1.1,,
2009 OCT,0.5,,
2009 NOV,1.9,,
2009 DEC,2,,
2010 JAN,0.1,,
2010 FEB,1.6,,
2010 MAR,1.7,,
2010 APR,2.5,,
2010 MAY,3.7,,
2010 JUN,3.6,,
2010 JUL,2.6,,
2010 AUG,2,,
2010 SEP,0.7,,
2010 OCT,2.7,,
2010 NOV,4.4,,
2010 DEC,1,,
2011 JAN,2.2,,
2011 FEB,0.8,,
2011 MAR,0.8,,
2011 APR,1.2,,
2011 MAY,5.3,,
2011 JUN,1.7,,
2011 JUL,1,,
2011 AUG,2.5,,
2011 SEP,0.3,,
2011 OCT,7.6,,
2011 NOV,2.8,,
2011 DEC,3.9,,
2012 JAN,0.3,,
2012 FEB,6.9,,
2012 MAR,2,,
2012 APR,6.4,,
2012 MAY,3.3,,
2012 JUN,4.1,,
2012 JUL,1.7,,
2012 AUG,2.9,,
2012 SEP,1.5,,
2012 OCT,6.1,,
2012 NOV,6,,
2012 DEC,4.5,,
2013 JAN,8.5,,
2013 FEB,8.6,,
2013 MAR,3.3,5.648675403,4.181938586
2013 APR,0.6,8.410423728,8.639772022
2013 MAY,1.6,10.37870645,13.02264897
2013 JUN,0.5,2.231240758,10.24821257
2013 JUL,7.2,12.04582786,14.61453459
2013 AUG,3,3.051954782,4.347140091
2013 SEP,1.2,5.117577975,6.722746358
2013 OCT,2.2,2.042312699,13.66701973
2013 NOV,0.3,3.587037105,10.86557077
2013 DEC,3.2,2.791807961,3.833041186
2014 JAN,1.3,0.788099426,9.635060808
2014 FEB,2.1,7.47681715,8.466139463
2014 MAR,1,1.700023327,4.752234424
2014 APR,2.2,4.684515057,8.366683109
2014 MAY,6.8,1.063437684,4.059186691
2014 JUN,3,4.143957613,8.464515691
2014 JUL,1.8,4.974879127,10.84648305
2014 AUG,1.6,2.610744623,6.692288594
2014 SEP,3.4,5.571815801,12.50215102
2014 OCT,1.5,3.269403233,12.51074176
2014 NOV,3.5,3.233789007,12.78754377
2014 DEC,3.2,3.903732746,7.222476875
2015 JAN,0.9,2.764705572,8.8658156
2015 FEB,7.1,3.734090073,16.02211999
2015 MAR,2.8,3.145026894,10.18071441
2015 APR,0.7,6.884703619,6.141508
2015 MAY,0.4,1.896681062,16.2752403
2015 JUN,6.4,5.856695956,15.15530323
2015 JUL,3.7,0.539398881,11.63644433
2015 AUG,3.8,2.07462583,13.36191199
2015 SEP,3.7,5.510884198,11.43437518
2015 OCT,1.8,5.108261244,16.04478784
2015 NOV,2.5,7.141955044,17.6441526
2015 DEC,9.8,2.592208423,14.08760359
2016 JAN,5.1,5.534914694,8.594960499
2016 FEB,8.5,1.471866583,17.43225886
2016 MAR,9.1,6.893384017,17.95326425
2016 APR,2.2,9.246841369,12.03490154
2016 MAY,7.6,15.46762098,17.93029249
2016 JUN,1.6,7.556561788,20.18583509
2016 JUL,4,11.20196219,19.2054305
2016 AUG,5.3,14.87364655,18.37772067
2016 SEP,5.2,11.22148762,20.65020362
2016 OCT,4,1.472662548,17.91509371
2016 NOV,1.6,10.65918692,19.44315482
