time,price
2006 DEC,141.7
2007 JAN,143.4
2007 FEB,141.7
2007 MAR,143.1
2007 APR,141.7
2007 MAY,141.1
2007 JUN,142.4
2007 JUL,141.4
2007 AUG,141.2
2007 SEP,139.8
2007 OCT,139.6
2007 NOV,140.1
2007 DEC,140.1
2008 JAN,141.2
2008 FEB,145.9
2008 MAR,148.3
2008 APR,154.5
2008 MAY,156.5
2008 JUN,167.5
2008 JUL,169.4
2008 AUG,171
2008 SEP,172.1
2008 OCT,169.1
2008 NOV,173.5
2008 DEC,173.6
2009 JAN,173.5
2009 FEB,175.9
2009 MAR,176.8
2009 APR,176.6
2009 MAY,175.8
2009 JUN,177.5
2009 JUL,176.1
2009 AUG,175.9
2009 SEP,174
2009 OCT,174.3
2009 NOV,174.6
2009 DEC,174.4
2010 JAN,176
2010 FEB,175.6
2010 MAR,175.6
2010 APR,172.9
2010 MAY,174.3
2010 JUN,175.2
2010 JUL,174.6
2010 AUG,173.1
2010 SEP,173.7
2010 OCT,174.2
2010 NOV,175.6
2010 DEC,174.8
2011 JAN,175.4
2011 FEB,177.3
2011 MAR,176.6
2011 APR,176.3
2011 MAY,174.9
2011 JUN,181.1
2011 JUL,181.4
2011 AUG,183.8
2011 SEP,185.1
2011 OCT,185.8
2011 NOV,190.6
2011 DEC,193.3
2012 JAN,195.7
2012 FEB,197.9
2012 MAR,201.4
2012 APR,198.2
2012 MAY,203.4
2012 JUN,203.8
2012 JUL,200.4
2012 AUG,202.4
2012 SEP,203
2012 OCT,204.3
2012 NOV,203.8
2012 DEC,206.5
2013 JAN,203.8
2013 FEB,208.1
2013 MAR,205.6
2013 APR,209.4
2013 MAY,208.7
2013 JUN,212.9
2013 JUL,217.1
2013 AUG,214.9
2013 SEP,220.8
2013 OCT,219.2
2013 NOV,220.9
2013 DEC,219.7
2014 JAN,219
2014 FEB,219.1
2014 MAR,221.2
2014 APR,217.6
2014 MAY,219.3
2014 JUN,220.4
2014 JUL,221
2014 AUG,217.9
2014 SEP,218.8
2014 OCT,217.6
2014 NOV,218.8
2014 DEC,218.5
2015 JAN,221.7
2015 FEB,222.7
2015 MAR,219.3
2015 APR,218.3
2015 MAY,219.4
2015 JUN,219.2
2015 JUL,217.5
2015 AUG,215.3
2015 SEP,219.6
2015 OCT,219.7
2015 NOV,220.7
2015 DEC,217.8
2016 JAN,218
2016 FEB,220.7
2016 MAR,214
2016 APR,213.4
2016 MAY,215.3
2016 JUN,213.4
2016 JUL,207.8
2016 AUG,210
2016 SEP,208.2
2016 OCT,212.2
