time,price
2006 DEC,169.9
2007 JAN,170.2
2007 FEB,173.6
2007 MAR,173.5
2007 APR,173.6
2007 MAY,173.6
2007 JUN,175.9
2007 JUL,173.7
2007 AUG,173.7
2007 SEP,174.8
2007 OCT,178.4
2007 NOV,179
2007 DEC,176.6
2008 JAN,180.9
2008 FEB,179
2008 MAR,179.1
2008 APR,183.1
2008 MAY,187.3
2008 JUN,180.8
2008 JUL,183.8
2008 AUG,192.3
2008 SEP,192.9
2008 OCT,193.6
2008 NOV,198.3
2008 DEC,195.2
2009 JAN,194.7
2009 FEB,194.4
2009 MAR,192.9
2009 APR,197.2
2009 MAY,197.6
2009 JUN,195.9
2009 JUL,199
2009 AUG,199.7
2009 SEP,197.4
2009 OCT,198.6
2009 NOV,195.6
2009 DEC,199
2010 JAN,203.2
2010 FEB,200.9
2010 MAR,202.4
2010 APR,207.2
2010 MAY,207
2010 JUN,206.9
2010 JUL,213.3
2010 AUG,214.8
2010 SEP,213.8
2010 OCT,211
2010 NOV,212.5
2010 DEC,212.1
2011 JAN,219.1
2011 FEB,222.8
2011 MAR,223.1
2011 APR,220.6
2011 MAY,228
2011 JUN,230.8
2011 JUL,227.9
2011 AUG,229.1
2011 SEP,233.2
2011 OCT,234.2
2011 NOV,235.8
2011 DEC,231.8
2012 JAN,234.8
2012 FEB,234.5
2012 MAR,236.5
2012 APR,236.2
2012 MAY,240.1
2012 JUN,233.1
2012 JUL,235
2012 AUG,238.1
2012 SEP,236.6
2012 OCT,245.2
2012 NOV,240.3
2012 DEC,242.3
2013 JAN,243.6
2013 FEB,243.9
2013 MAR,243.5
2013 APR,239.8
2013 MAY,247.6
2013 JUN,242.9
2013 JUL,244.1
2013 AUG,251.4
2013 SEP,244.6
2013 OCT,254
2013 NOV,253.7
2013 DEC,252.7
2014 JAN,253.4
2014 FEB,257.2
2014 MAR,260.5
2014 APR,249.1
2014 MAY,258.1
2014 JUN,249.7
2014 JUL,254.6
2014 AUG,254.2
2014 SEP,246.5
2014 OCT,258
2014 NOV,252.4
2014 DEC,255.4
2015 JAN,254.2
2015 FEB,254.4
2015 MAR,247.5
2015 APR,249.4
2015 MAY,245.1
2015 JUN,247.6
2015 JUL,243.7
2015 AUG,241.9
2015 SEP,244.5
2015 OCT,244.4
2015 NOV,241
2015 DEC,244.2
2016 JAN,238.2
2016 FEB,245.4
2016 MAR,241.9
2016 APR,242.2
2016 MAY,236.7
2016 JUN,237.6
2016 JUL,243.5
2016 AUG,240.4
2016 SEP,239.7
2016 OCT,247
