Date ,Month,Year,keyword,rising
01/01/2012,Jan,2012,saucy fish,13.5
01/01/2012,Jan,2012,saucy fish co,11
01/01/2012,Jan,2012,saucy fish company,10
01/01/2012,Jan,2012,fish husbandry,6
01/01/2012,Jan,2012,healthy fish recipes,2
01/01/2012,Jan,2012,fish for homes,1.4
01/01/2012,Jan,2012,plent of fish,1.4
01/01/2012,Jan,2012,reel big fish,1.2
01/01/2012,Jan,2012,easy fish pie,1.1
01/01/2012,Jan,2012,fish chowder,1.1
01/01/2012,Jan,2012,tuna fish,1.1
01/01/2012,Jan,2012,goliath tiger fish,1
01/01/2012,Jan,2012,fish 4 cars,0.9
01/01/2012,Jan,2012,marine traffic,0.9
01/01/2012,Jan,2012,thai fish curry,0.9
01/01/2012,Jan,2012,fish curry,0.8
01/01/2012,Jan,2012,rhiannon fish,0.8
01/01/2012,Jan,2012,babble fish,0.8
01/01/2012,Jan,2012,basa fish,0.8
01/01/2012,Jan,2012,fish for jobs,0.8
01/01/2012,Jan,2012,fish curry recipe,0.7
01/01/2012,Jan,2012,match.com,0.7
01/01/2012,Jan,2012,fish cakes,0.7
01/01/2012,Jan,2012,fish batter,0.7
01/01/2012,Jan,2012,fish tay,0.7
01/02/2012,Feb,2012,lincoln lewis,16.5
01/02/2012,Feb,2012,african food fish,12
01/02/2012,Feb,2012,plentyoffish.com,10.5
01/02/2012,Feb,2012,granadilla,7
01/02/2012,Feb,2012,kappa fish,3
01/02/2012,Feb,2012,wolf fish,2.5
01/02/2012,Feb,2012,uniformdating,1.9
01/02/2012,Feb,2012,goliath tiger fish,1.3
01/02/2012,Feb,2012,young fish,1.2
01/02/2012,Feb,2012,fish tech,0.9
01/02/2012,Feb,2012,monkey fish,0.8
01/02/2012,Feb,2012,fish tay,0.8
01/02/2012,Feb,2012,big fish games,0.6
01/02/2012,Feb,2012,angler fish,0.6
01/02/2012,Feb,2012,thai fish cakes,0.6
01/02/2012,Feb,2012,oily fish,0.5
01/02/2012,Feb,2012,albert fish,0.5
01/02/2012,Feb,2012,billingsgate fish market,0.4
01/02/2012,Feb,2012,batter for fish,0.4
01/02/2012,Feb,2012,fish plait,0.4
01/03/2012,Mar,2012,weaver fish,1
01/03/2012,Mar,2012,pink fish media,0.6
01/03/2012,Mar,2012,fish fight,0.5
01/03/2012,Mar,2012,fish pal,0.5
01/03/2012,Mar,2012,fish tech,0.4
01/03/2012,Mar,2012,plentyoffish.com,0.4
01/04/2012,Apr,2012,plently of fish,13.5
01/04/2012,Apr,2012,fish esks,13.5
01/04/2012,Apr,2012,fish tay catches,13
01/04/2012,Apr,2012,vampire fish,6
01/04/2012,Apr,2012,snakehead fish,4.5
01/04/2012,Apr,2012,one pound fish,2.5
01/04/2012,Apr,2012,fish soup recipe,1.9
01/04/2012,Apr,2012,1 pound fish,1.8
01/04/2012,Apr,2012,go fish rules,1.6
01/04/2012,Apr,2012,hawkhurst fish farm,1.1
01/04/2012,Apr,2012,reel big fish,1
01/04/2012,Apr,2012,fish tay,1
01/04/2012,Apr,2012,fish tyne,0.9
01/04/2012,Apr,2012,pleanty of fish,0.8
01/04/2012,Apr,2012,snap fish,0.7
01/04/2012,Apr,2012,match.com,0.7
01/04/2012,Apr,2012,plenty off fish,0.7
01/04/2012,Apr,2012,cheap fish tanks,0.6
01/04/2012,Apr,2012,pl,0.6
01/04/2012,Apr,2012,blob fish,0.5
01/04/2012,Apr,2012,goldfish,0.4
01/04/2012,Apr,2012,bigfish,0.4
01/05/2012,May,2012,fish spa banned,Breakout
01/05/2012,May,2012,fish on percussion,45
01/05/2012,May,2012,one pound fish,8.5
01/05/2012,May,2012,pink sofa,7.5
01/05/2012,May,2012,1 pound fish,4
01/05/2012,May,2012,fish tail plait,2
01/05/2012,May,2012,fish called wanda,1.7
01/05/2012,May,2012,�1 fish,1.7
01/05/2012,May,2012,fish spa,1.1
01/05/2012,May,2012,�1 fish man,1.1
01/05/2012,May,2012,albert fish,0.8
01/05/2012,May,2012,billingsgate fish market,0.7
01/05/2012,May,2012,bable fish,0.6
01/05/2012,May,2012,mandarin fish,0.6
01/05/2012,May,2012,pleanty of fish,0.6
01/05/2012,May,2012,michael fish,0.5
01/05/2012,May,2012,gar fish,0.5
01/05/2012,May,2012,sucker fish,0.5
01/06/2012,June,2012,runescape fish mask,Breakout
01/06/2012,June,2012,james ward,Breakout
01/06/2012,June,2012,mardy fish,13
01/06/2012,June,2012,fish mask,11
01/06/2012,June,2012,fish boy,5
01/06/2012,June,2012,fish flingers,5
01/06/2012,June,2012,fish pal,1.4
01/06/2012,June,2012,fish wrangler,1.3
01/06/2012,June,2012,wolf fish,1
01/06/2012,June,2012,fish batter recipe,1
01/06/2012,June,2012,siamese fighting fish,1
