Date ,Month,Year,keyword,rising,
01/01/2012,Jan,2012,hot potato cafe,30.00,
01/01/2012,Jan,2012,seed potatoes,3.50,
01/01/2012,Jan,2012,growing potatoes,2.50,
01/01/2012,Jan,2012,chitting potatoes,2.00,
01/01/2012,Jan,2012,potato seed buds,1.80,
01/01/2012,Jan,2012,pottermore,1.30,
01/01/2012,Jan,2012,potato fondant,0.80,
01/01/2012,Jan,2012,potato rosti recipe,0.70,
01/01/2012,Jan,2012,potato recipes,0.60,
01/01/2012,Jan,2012,potato rosti,0.60,
01/01/2012,Jan,2012,saute potatoes,0.40,
01/02/2012,Feb,2012,planting potatoes,1.30,
01/02/2012,Feb,2012,chitting potatoes,0.90,
01/02/2012,Feb,2012,boulangere potatoes,0.50,
01/03/2012,Mar,2012,growing potatoes,1.90,
01/03/2012,Mar,2012,planting potatoes,1.80,
01/03/2012,Mar,2012,parmentier potatoes,0.70,
01/04/2012,Apr,2012,potato meme,2.50,
01/04/2012,Apr,2012,count to potato,2.50,
01/04/2012,Apr,2012,bombay potato recipe,0.50,
01/04/2012,Apr,2012,potato rosti recipe,0.50,
01/04/2012,Apr,2012,perfect roast potatoes,0.50,
01/05/2012,May,2012,potato salad,0.90,
01/06/2012,June,2012,apache potatoes,3.50,
01/06/2012,June,2012,perfect roast potatoes,1.20,
01/06/2012,June,2012,roast potatoes recipe,0.70,
01/06/2012,June,2012,bombay potatoes,0.60,
01/06/2012,June,2012,parmentier potatoes,0.60,
01/06/2012,June,2012,roasted new potatoes,0.40,
01/07/2012,July,2012,new potato recipes,2.50,
01/07/2012,July,2012,potato diseases,2.50,
01/07/2012,July,2012,saute potatoes,0.50,
01/07/2012,July,2012,roasted new potatoes,0.50,
01/08/2012,Aug,2012,dauphinoise potatoes wiki,1.00,
01/08/2012,Aug,2012,storing potatoes,0.80,
01/08/2012,Aug,2012,potato dauphinoise,0.40,
01/09/2012,Sep,2012,osmosis potato experiment,7.50,
01/09/2012,Sep,2012,delmonico potatoes,3.00,
